ABL1	NM_007313 
PIK3C2G	NM_004570
PMAIP1	NM_021127
PML	NM_033238 
POR	NM_000941
PPP2R1B	NM_002716 
PRF1	NM_001083116 
PRKAA1	NM_006251 
PRKCA	NM_002737
PRKCE	NM_005400
PRKCZ	NM_002744 
MAPK1	NM_138957 
MAPK4	NM_002747
MAPK7	NM_139033 
MAPK8	NM_139046 
MAPK10	NM_138980 
MAP2K1	NM_002755
MAP2K5	NM_002757 
MAP2K6	NM_002758
EIF2AK2	NM_002759
PSEN1	NM_000021
PSEN2	NM_012486 
PTEN	NM_000314
PTGER3	NM_198716 
PTH	NM_000315
PTGS2	NM_000963
PTK2	NM_153831 
PTPN6	NM_002831 
PTPN13	NM_080685 
RAD21	NM_006265
RAD23B	NM_002874
RAF1	NM_002880
RB1	NM_000321
ARID4A	NM_023001 
JARID1A	NM_001042603 
RBBP4	NM_005610
RBBP5	NM_005057
RBBP6	NM_032626 
RBL1	NM_002895 
RBL2	NM_005611
RELA	NM_021975
RELB	NM_006509
DPF2	NM_006268
S100B	NM_006272
MAPK12	NM_002969
CCL2	NM_002982
MAP2K4	NM_003010
SFRP1	NM_003012
SFRP2	NM_003013
SFRP5	NM_003015
SGK	NM_005627
SIAH1	NM_003031 
SIPA1	NM_006747 
SNCA	NM_000345 
SOD1	NM_000454
SON	NM_032195 
SPP1	NM_000582 
SSTR3	NM_001051
STAT1	NM_007315 
STK3	NM_006281
ADAM17	NM_003183
MAP3K7	NM_145332 
TDGF1	NM_003212
TEGT	NM_003217 
TFDP1	NM_007111
TFDP2	NM_006286
TGFB1	NM_000660
TIA1	NM_022037 
TIAL1	NM_003252 
TIMP3	NM_000362
TLR2	NM_003264
CLDN5	NM_003277
TNF	NM_000594
TNFAIP1	NM_021137
TNFAIP2	NM_006291
TNFAIP3	NM_006290
TNFAIP6	NM_007115
TNFRSF1A	NM_001065
TNFRSF1B	NM_001066
TP53	NM_000546
TP53BP2	NM_005426 
TP73	NM_005427
HSP90B1	NM_003299
TRAF1	NM_005658
TRAF2	NM_021138
TRAF3	NM_003300 
TRAF5	NM_145759 
TRAF6	NM_004620 
PHLDA2	NM_003311
TNFSF4	NM_003326
TNFRSF4	NM_003327
VDAC1	NM_003374
VEGFB	XM_0011289
VEGFC	NM_005429
YWHAB	NM_139323 
YWHAE	NM_006761 
YWHAG	NM_012479
YWHAH	NM_003405
YWHAZ	NM_003406 
DAP3	NM_033657 
CUL5	NM_003478
FXR1	NM_005087 
DPF1	NM_004647
NME5	NM_003551
CUL4A	NM_003589 
CUL3	NM_003590
CUL2	NM_003591
CUL1	NM_003592
GPR65	NM_003608
ENC1	NM_003633
IKBKG	NM_003639
CBX4	NM_003655
API5	NM_006595
YARS	NM_003680
MADD	NM_130476 
TNFSF11	NM_003701 
TP73L	NM_003722
BECN1	NM_003766
TRADD	NM_003789
TNFRSF25	NM_148967 
CTNNAL1	NM_003798
RIPK1	NM_003804
CRADD	NM_003805
HRK	NM_003806
TNFSF14	NM_003807 
TNFSF13	NM_172088 
TNFSF12	NM_003809
TNFSF10	NM_003810
TNFSF9	NM_003811
TNFRSF14	NM_003820
RIPK2	NM_003821
TNFRSF6B	NM_032945 
FADD	NM_003824
TNFRSF18	NM_004195 
TNFRSF11A	NM_003839
TNFRSF10D	NM_003840
TNFRSF10C	NM_003841
TNFRSF10B	NM_147187 
TNFRSF10A	NM_003844
SOCS2	NM_003877
CFLAR	NM_003879
HDAC3	NM_003883
IER3	NM_003897
TAX1BP1	NM_006024 
BCL10	NM_003921
PGLYRP1	NM_005091
TNFSF18	NM_005092
NOL3	NM_003946
KALRN	NM_007064 
MAP3K14	NM_003954
SOCS3	NM_003955
DNAJA3	NM_005147
AIFM1	NM_145813 
ATG12	NM_004707
PDCD5	NM_004708
EBAG9	NM_198120 
DEDD	NM_001039712 
FAIM3	NM_005449
TIAF1	NM_004740
STK17B	NM_004226
STK17A	NM_004760
BCL7B	NM_001707
TXNL1	NM_004786
GSTO1	NM_004832
LY86	NM_004271
ARHGEF6	NM_004840
ATG5	NM_004849
LITAF	NM_004862
BAG5	NM_001015048 
BAG4	NM_004874
BAG3	NM_004281
BAG2	NM_004282
EI24	NM_004879 
TP53I3	NM_004881 
NRG2	NM_013981 
BRE	NM_199191 
RNF7	NM_183237 
TRAF4	NM_004295
MTL5	NM_004923 
PPM1F	NM_014634
ESPL1	NM_012291
BCLAF1	NM_001077441 
TNFSF15	NM_005118
CASP8AP2	NM_012115
AKT3	NM_181690 
TANK	NM_133484 
PDCD6	NM_013232
BCL2L10	NM_020396
BCL2L11	NM_207002 
FEM1B	NM_015322
BCAP31	NM_005745
NME6	NM_005793
ZNF443	NM_005815
SMNDC1	NM_005871
TRAIP	NM_005879
MAEA	NM_005882 
NOD1	NM_006092
TESK2	NM_007170
UNC13B	NM_006377
SEMA4D	NM_006378
PRDX4	NM_006406
HTATIP2	NM_001098520 
SIVA1	NM_021709 
CGRRF1	NM_006568
TNFSF13B	NM_006573
CAPN9	NM_006615 
NCKAP1	NM_013436 
MRPS30	NM_016640
WDR3	NM_006784
MALT1	NM_006785 
GADD45G	NM_006705
EDAR	NM_022336
FASTK	NM_033015 
YWHAQ	NM_006826
IL24	NM_006850 
RIPK3	NM_006871
FAF1	NM_007051
CAPN11	NM_007058
PDCD10	NM_007217 
NLRP1	NM_014922 
CARD8	NM_014959
PDCD11	NM_014976
FAIM2	NM_012306
SETX	NM_015046
TRIM35	NM_171982
MMD	NM_012329
MAPK8IP2	NM_016431 
ZNF346	NM_012279
CASP14	NM_012114
39174	XR_017911 
DAPK2	NM_014326
NUP62	NM_016553 
PPP1R15A	NM_014330
ARFIP2	NM_012402
BCL2L13	NM_015367
MTCH1	NM_014341
TNFAIP8	NM_001077654 
PRDX5	NM_181651 
NUPR1	NM_012385 
AATF	NM_012138
NGFRAP1	NM_014380 
CIDEB	NM_014430
TNFRSF21	NM_014452
PDCD4	NM_145341 
HTRA2	NM_013247 
MAGEH1	NM_014061
PYCARD	NM_145182 
CARD10	NM_014550
NDUFA13	NM_015965
ANGPTL4	NM_139314 
C12orf47	XR_017874 
BFAR	NM_016561
TNFRSF12A	NM_016639
C2orf28	NM_080592 
DDX41	NM_016222
GULP1	NM_016315
TTRAP	NM_016614
PTRH2	NM_016077
CROP	NM_006107 
RTEL1	NM_016434 
CYCS	NM_018947
SPIN2A	NM_019003
TRIAD3	NM_207111 
ZRANB1	NM_017580
APTX	NM_175073 
TNFRSF19	NM_018647 
NLRP2	NM_017852
BCAP29	NM_001008406 
DIABLO	NM_138930 
SPHK2	NM_020126
DUSP22	NM_020185 
AVEN	NM_020371
RTN4	NM_007008 
BIRC6	NM_016252
TRIB3	NM_021158
NLRC4	NM_021209
ICEBERG	NM_021571
FKSG2	NM_021631
CIDEC	NM_022094
P53AIP1	NM_022112
PERP	NM_022121
NOD2	NM_022162
CARD9	NM_052813
AXUD1	NM_033027
BCL11B	NM_022898 
CARD14	NM_024110 
BCL2L14	NM_138722 
BIRC7	NM_022161 
PHF17	NM_199320 
BCL2L12	NM_138639 
PDCD2L	NM_032346
CARD11	NM_032415
CARD6	NM_032587
NLRP12	NM_033297 
BIRC8	NM_033341
NLRP3	NM_183395 
PGLYRP2	NM_052890
EXOC3L	NM_178516
MYO18A	NM_203318 
DDX12	XM_495908 
CDC2L2	NM_033529 
